-0.10434	3.17959	-0.0134897	0.411079	-0.10434	3.17959	-0.0047	2.8999	-0.0471	0.9989
-0.162799	3.92288	-0.0739092	0.95472	-0.166785	3.92165	-0.1481	3.6848	-0.294	0.9558
-0.370859	4.57352	-0.347801	1.24253	-0.352175	4.37063	-0.4821	4.4094	-0.5225	0.8526
-0.897501	5.49376	-0.791004	0.910772	-0.911709	5.5644	-0.9859	5.0282	-0.7181	0.6959
-1.69386	5.96875	-1.1587	0.526917	-1.65861	5.85376	-1.6277	5.5023	-0.8686	0.4955
-2.75948	5.984	-1.6005	0.0218649	-2.64196	5.74999	-2.3672	5.8018	-0.9646	0.2639
-3.33094	6.03035	-0.667854	0.401347	-3.16687	5.71914	-3.158	5.908	-0.9999	0.0157
-4.16013	5.63503	-1.2714	-0.622549	-3.96575	5.41403	-3.9504	5.8143	-0.9724	-0.2334
-4.67929	5.50197	-0.514632	0.128048	-4.61146	5.43835	-4.6946	5.5264	-0.8838	-0.4679
-5.23765	5.25923	-0.896724	-0.282076	-5.12147	5.144	-5.3437	5.0625	-0.7396	-0.673
-5.91039	4.30283	-0.797955	-1.70738	-5.77131	4.22293	-5.8572	4.4517	-0.549	-0.8358
-6.43148	3.74242	-0.197535	-0.214037	-6.61011	3.89514	-6.2026	3.7324	-0.3239	-0.9461
-6.49214	3.06541	-0.0262266	-1.06639	-6.38729	3.0257	-6.3582	2.9498	-0.0785	-0.9969
-6.27302	2.322	0.249808	-0.883424	-6.15906	2.27964	-6.3144	2.1531	0.1719	-0.9851
-6.33039	1.30861	-0.111538	-1.47234	-6.4332	1.30938	-6.0738	1.3924	0.4115	-0.9114
-5.99889	0.966619	0.232356	-0.0449582	-5.66691	0.888913	-5.6515	0.7153	0.6252	-0.7804
-5.6062	0.0207612	0.119184	-1.50137	-5.23055	0.0506992	-5.0742	0.1646	0.7997	-0.6004
-4.93776	-0.0868657	0.679355	0.170351	-4.48709	-0.175052	-4.378	-0.2253	0.9239	-0.3827
-4.36795	26.7327	2.9137	52.7226	-4.05227	-0.529341	-3.6068	-0.4298	0.99	-0.1409
63.334	19.5115	154.954	-6.00654	-3.3286	-0.405389	-2.8089	-0.4361	0.994	0.1097
6.43318	-7.92868	1.18204	-53.3272	-2.38118	-0.327532	-2.0345	-0.2437	0.9355	0.3534
74.1602	9.42495	153.845	13.0583	-1.47285	0.124445	-1.3323	0.1352	0.8182	0.575
4.50142	11.7708	-4.15607	27.7512	-0.919818	0.875982	-0.7464	0.6768	0.6495	0.7604
-2.59857	2.65905	-16.5961	0.740365	-0.449497	1.96843	-0.3136	1.3471	0.44	0.898
1.05422	17.7185	3.18613	32.9892	-0.209377	2.52895	-0.0611	2.104	0.2028	0.9792
-1.9182	5.92436	-1.17286	0.566045	0.07887	2.76698	0	2.9	0.0157	0.9999
1.25861	5.29669	-1.32514	0.918861	0.155197	3.47774	0.1186	3.689	0.2639	0.9645
0.547547	5.26042	0.218582	0.750787	0.490257	4.71086	0.4297	4.4238	0.4955	0.8686
0.763778	5.45619	0.407236	0.617396	0.703762	5.06373	0.9138	5.0581	0.6959	0.7181
1.38369	5.74383	1.05598	0.604223	1.32307	5.50185	1.5404	5.552	0.8527	0.5225
2.49953	5.87947	1.59956	-0.0620727	2.46066	5.79904	2.2702	5.8747	0.9558	0.294
3.15489	6.27043	0.172572	0.522703	3.21094	6.43073	3.0573	6.0057	0.9989	0.0471
3.93371	6.14806	1.3489	-0.442422	3.89349	6.07844	3.8522	5.9368	0.9792	-0.2028
4.61753	5.76834	0.696434	-0.507846	4.5722	5.70758	4.605	5.6724	0.898	-0.44
5.16158	5.03678	0.83114	-0.90417	5.00879	4.89687	5.2685	5.2291	0.7604	-0.6495
5.69247	4.22281	0.36293	-1.20403	5.75824	4.26849	5.8008	4.6348	0.575	-0.8182
5.92023	3.8854	0.168853	-0.0786186	5.99074	3.97221	6.1686	3.9267	0.3535	-0.9355
6.22545	3.2259	0.423883	-1.20261	6.19963	3.21028	6.3488	3.1494	0.1097	-0.994
6.10931	2.78078	-0.0685023	-0.265198	5.91481	2.68693	6.33	2.3517	-0.1409	-0.99
6.15163	1.3732	0.285688	-2.30254	5.86638	1.34144	6.1134	1.5838	-0.3827	-0.9239
5.85695	0.983939	-0.746346	0.462281	5.71985	0.874419	5.7127	0.8938	-0.6004	-0.7997
5.13685	0.241082	-0.887294	-1.61668	4.99056	0.279764	5.1529	0.3252	-0.7804	-0.6252
4.59951	-0.265003	-0.360858	-0.0708299	4.52025	-0.243424	4.4693	-0.0863	-0.9114	-0.4115
4.17291	-0.487043	-1.1063	-0.459326	4.36015	-0.507616	3.7049	-0.3149	-0.9851	-0.1719
2.94985	-0.510642	-1.47117	0.0713026	2.69652	-0.491799	2.9076	-0.3463	-0.9969	0.0785
2.1094	-0.17726	-0.344078	0.553568	1.9062	-0.110492	2.1275	-0.1783	-0.9461	0.3239
1.66247	0.162409	-0.563249	0.366718	1.559	0.159099	1.4138	0.1783	-0.8358	0.549
1.01055	0.806431	-0.899474	1.16789	0.911313	0.719326	0.8111	0.7013	-0.673	0.7396
0.442082	1.5174	-0.541019	0.745929	0.405091	1.45579	0.3575	1.3576	-0.4679	0.8838
0.106997	2.23402	-0.32434	0.99949	0.113856	2.25282	0.0813	2.1062	-0.2334	0.9724
-0.0395517	2.95572	-0.0746999	0.855431	-0.0413154	2.92921	0	2.9	0.0157	0.9999
